,11135530,9660,Brakel,New-real-estate-project-houses,Unnamed: 4,From 389000 To 498500,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
51,11141854,9100,Sint-niklaas,Villa,,190000,1.0,80.0,,,,11.0,,,,1.0,Good
52,11141850,8551,Heestert,House,,168000,5.0,135.0,,,,,130.0,282.0,2.0,,To be done up
53,11141856,9500,Geraardsbergen,House,,279000,5.0,300.0,,,,40.0,330.0,650.0,2.0,0.0,To renovate
54,11141846,4845,Jalhay,House,,295000,3.0,,,,,,,1229.0,4.0,,To be done up
55,11141849,6600,Bastogne,House,,300000,3.0,,,,,,,321.0,3.0,,Just renovated
56,11141845,9960,Assenede,Appartment,Penthouse,265500,1.0,87.0,,0.0,,51.0,,,3.0,0.0,Good
57,11141844,9960,Assenede,Apartment,,265500,1.0,87.0,,0.0,,51.0,,,3.0,0.0,Good
58,11138069,1410,Waterloo,House,,595000,4.0,196.0,,0.0,,24.0,10.0,,2.0,0.0,As new
59,11141843,2500,Lier,House,,279000,3.0,125.0,,,,,25.0,102.0,2.0,,Good
60,11137866,9800,Deinze,Villa,,597000,3.0,192.0,,0.0,,,,552.0,4.0,0.0,As new
61,11137868,9800,Deinze,Villa,,599500,3.0,181.0,,0.0,,,,587.0,4.0,0.0,As new
62,11128096,8791,Waregem,House,,395000,3.0,175.0,,,,,,295.0,3.0,,Good
63,11128877,1000,Bruxelles,House,Apartment-block,1920000,15.0,1200.0,,0.0,,60.0,,400.0,2.0,0.0,Good
64,11128196,1150,Woluwe-saint-pierre,House,,649000,3.0,135.0,,0.0,,7.0,30.0,114.0,2.0,0.0,Good
65,11122731,9900,Eeklo,House,,250000,4.0,195.0,,0.0,,68.0,380.0,689.0,3.0,,To renovate
66,11103657,9000,Gent,House,,250000,3.0,119.0,,,,,,50.0,2.0,,To renovate
67,11133779,1500,Halle,House,,380000,3.0,160.0,,0.0,,20.0,500.0,590.0,3.0,,Just renovated
68,11134155,6982,La-roche-en-ardenne-berismenil,House,,395000,3.0,138.0,,0.0,,,1073.0,1166.0,4.0,,As new
69,11133921,1180,Uccle,Villa,,1390000,5.0,393.0,,0.0,,,2320.0,2510.0,4.0,,Good
70,11134447,8755,Ruiselede,House,,399000,4.0,286.0,,,,,,1080.0,4.0,,To renovate
71,11135686,1210,Saint-josse-ten-noode,House,Apartment-block,595000,5.0,270.0,,0.0,,50.0,,270.0,2.0,,To renovate
72,11136211,1150,Woluwe-saint-pierre,House,,430000,3.0,119.0,,,,,,172.0,2.0,,To renovate
73,11104715,4000,Liege,House,,199000,2.0,109.0,,,,9.0,22.0,69.0,2.0,,Good
